,author_name,book_title,category,publish_date
3752,Angella Graff,The Judas Kiss,1,2013
3753,Ireland Taylor,A Place To Go,1,2013
3754,Lewis Carroll,Alice`s Adventures in Wonderland & Through the Looking-Glass,1,1872
3755,Karina Halle,Sins & Needles,1,2013
3756,Lindy Zart,Charmed,1,2012
3757,Alex Lux,Seduced by Innocence,1,2013
3758,L.P. Dover,Forever Fae,1,2012
3759,Cormac McCarthy,The Road,1,2006
3760,Nathaniel Hawthorne,The Scarlet Letter,1,1850
3761,Elizabeth A. James,Love By Design,1,2013
3762,Gabriel García Márquez,Love in the Time of Cholera,1,1985
3763,A.B. McKinley,Russian Roulette,1,2012
3764,Rachel  Thompson,Broken Pieces,1,2012
3765,Mary Wollstonecraft Shelley,Frankenstein,1,1818
3766,Hunter S. Jones,September Ends,1,2013
3767,Kelly Elliott,Wanted,1,2012
3768,William Golding,Lord of the Flies,1,1954
3769,Vladimir Nabokov,Lolita,1,1955
3770,Jasper Fforde,The Fourth Bear,1,2006
3771,Jonathan Swift,Gulliver`s Travels,1,1726
3772,John Kennedy Toole,A Confederacy of Dunces,1,1980
3773,Katherine Reay,A Portrait of Emily Price,1,2016
3774,John Dunning,Booked To Die,1,1992
3775,Geoffrey Chaucer,The Canterbury Tales,1,1390
3776,Michael Ondaatje,The English Patient,1,1992
3777,Aldous Huxley,Brave New World,1,1932
3778,Gabrielle Zevin,The Storied Life of A.J. Fikry,1,2014
3779,Karen Joy Fowler,The Jane Austen Book Club,1,2004
3780,Norton Juster,The Phantom Tollbooth,1,1961
3781,Jostein Gaarder,Sophie`s World,1,1991
3782,Italo Calvino,If on a Winter`s Night a Traveler,1,1979
3783,Kazuo Ishiguro,Never Let Me Go,1,2005
3784,John Irving,The World According to Garp,1,1978
3785,Diana   Forbes,Mistress Suffragette,1,2017
3786,Arturo Pérez-Reverte,The Club Dumas,1,1993
3787,Dodie Smith,I Capture the Castle,1,1948
3788,Walter Moers,The City of Dreaming Books,1,2004
3789,A.S. Byatt,Possession,1,1990
3790,Paulo Coelho,The Alchemist,1,1988
3791,Douglas Adams,The Hitchhiker`s Guide to the Galaxy,1,1979
3792,Nicole Krauss,The History of Love,1,2005
3793,John Connolly,The Book of Lost Things,1,2006
3794,J.D. Salinger,The Catcher in the Rye,1,1951
3795,Michael Ende,The Neverending Story,1,1979
3796,Betty  Smith,A Tree Grows in Brooklyn,1,1943
3797,Kerrelyn Sparks,The Undead Next Door,1,2008
3798,Lynsay Sands,Single White Vampire,1,2003
3799,Laurell K. Hamilton,The Harlequin,1,2007
3800,Gena Showalter,The Darkest Kiss,1,2008
3801,D.B. Reynolds,Raphael,1,2009
3802,Kia Carrington-Russell,Token Huntress,1,2014
3803,Sherrilyn Kenyon,Dark Side of the Moon,1,2006
3804,Lara Adrian,Veil of Midnight,1,2008
3805,Bram Stoker,Dracula,1,1897
3806,Charlaine Harris,From Dead to Worse,1,2008
3807,Jackie Williams,A Fallen Fortune,1,2013
3808,Sarra Manning,Unsticky,1,0
3809,C.C. Gibbs,Knight`s Mistress,1,2012
3810,K.M. Golland,Satisfaction,1,2013
3811,J.C. Reed,Surrender Your Love,1,2013
3812,K.A. Linde,Avoiding Commitment,1,2012
3813,S.H. Kolee,Fated,1,2012
3814,Mimi Jean Pamfiloff,Leather Pants,1,2017
3815,Maya Cross,Locked,1,2013
3816,Thea Harrison,Dragon Bound,1,2011
3817,L.A. Fiore,Beautifully Damaged,1,2012
3818,Laurelin Paige,Forever with You,1,2014
3819,Arthur Golden,Memoirs of a Geisha,1,1997
3820,Judith McNaught,Paradise,1,1991
3821,Maya Banks,Fever,1,2013
3822,Sandi Lynn,Forever Black,1,2013
3823,Julie James,Just the Sexiest Man Alive,1,2008
3824,Kara,"Demon Diary, Volume 01",1,2000
3825,Yuu Watase,"Imadoki! Nowadays, Vol. 1",1,2000
3826,Kosuke Fujishima,"Oh My Goddess!, Volume 1",1,1989
3827,Asuka Katsura,"Blood+, Vol. 01",1,2005
3828,Setona Mizushiro,"After School Nightmare, Volume 1",1,2004
3829,Kazuya Minekura,"Saiyuki, Vol. 1",1,1997
3830,Kaoru Mori,"A Bride`s Story, Vol. 1",1,2009
3831,Bisco Hatori,"Millennium Snow, Vol. 1",1,2001
3832,Emura,"W Juliet, Vol. 1",1,1999
3833,Jinsei Kataoka,"Deadman Wonderland, Vol. 1",1,2007
3834,Wataru Yoshizumi,"Marmalade Boy, Vol. 1",1,1992
3835,Nagaru Tanigawa,"The Melancholy of Haruhi Suzumiya, Vol. 1",1,2006
3836,Yumi Tamura,"Basara, Vol. 1",1,1991
3837,Naoki Urasawa,"20th Century Boys, Band 01",1,2000
3838,Kyoko Hikawa,"From Far Away, Vol. 01",1,1992
3839,Shiro Amano,"Kingdom Hearts, Vol. 1",1,2003
3840,QuinRose,"Alice in the Country of Hearts, Vol. 01",1,2008
3841,CLAMP,"X/1999, Volume 01: Prelude",1,1992
3842,Daisuke Moriyama,"Chrno Crusade, Vol. 1",1,2003
3843,Kiyohiko Azuma,"Azumanga Daioh, Vol. 1",1,2000
3844,Masami Tsuda,"Kare Kano: His and Her Circumstances, Vol. 1",1,1996
3845,Mia Ikumi,"Tokyo Mew Mew, Vol. 1",1,2003
3846,Mi-Kyung Yun,"Bride of the Water God, Volume 1",1,2006
3847,Kaori Yuki,"Angel Sanctuary, Vol. 1",1,1995
3848,Tsugumi Ohba,"Bakuman, Band 1: Traum und Realität",1,2009
3849,Norihiro Yagi,"Claymore, Vol. 1: Silver-eyed Slayer",1,2002
3850,Yoshiyuki Sadamoto,"Neon Genesis Evangelion, Vol. 1",1,1994
3851,Sui Ishida,"Tokyo Ghoul, tome 1",1,2012
3852,Yuki Kure,"La Corda d`Oro, Volume 1",1,2006
3853,Kohta Hirano,"Hellsing, Vol. 01",1,1998
3854,Tomoko Ninomiya,"Nodame Cantabile, Vol. 1",1,2002
3855,Chie Shinohara,"Red River, Vol. 1",1,1995
3856,Matsuri Hino,"MeruPuri, Vol. 1",1,2002
3857,Kanoko Sakurakouji (桜小路かのこ),"Black Bird, Vol. 1",1,2007
3858,Yumi Hotta,"Hikaru no Go, Vol. 1: Descent of the Go Master",1,1999
3859,Naoko Takeuchi,"Pretty Guardian Sailor Moon, Vol. 1",1,1991
3860,Ai Yazawa,"Paradise Kiss, Vol. 1",1,2000
3861,Yuna Kagesaki,"Chibi Vampire, Vol. 01",1,2003
3862,Arina Tanemura,"The Gentlemen`s Alliance †, Vol. 1",1,2005
3863,Yun Kouga,"Loveless, Volume 1",1,2002
3864,Yōko Kamio,"Boys Over Flowers: Hana Yori Dango, Vol. 1",1,1992
3865,Julietta Suzuki,"Kamisama Kiss, Vol. 1",1,2008
3866,Kentaro Miura,"Berserk, Vol. 1",1,1990
3867,Kyousuke Motomi,"Dengeki Daisy, Vol. 1",1,2007
3868,Maki Minami,"Special A, Vol. 1",1,2003
3869,Natsumi Andō,"Kitchen Princess, Vol. 01",1,2005
3870,Fuyumi Soryo,"Mars, Vol. 1",1,1996
3871,Kazune Kawahara,"High School Debut, Vol. 01",1,2004
3872,Katsuhiro Otomo,"Akira, Vol. 1",1,1984
3873,Tomoko Hayakawa,"The Wallflower, Vol. 1",1,2000
3874,Kazue Kato,"Blue Exorcist, Vol. 1",1,2009
3875,Aya Nakahara,"Love★Com, Vol. 1",1,2001
3876,Akira Toriyama,"Dragon Ball, Vol. 1: The Monkey King",1,1985
3877,Hayao Miyazaki,"Nausicaä of the Valley of the Wind, Vol. 1",1,1982
3878,Tachibana Higuchi,"Gakuen Alice, Vol. 01",1,2003
3879,Yukiru Sugisaki,"D.N.Angel, Vol. 1",1,1997
3880,Rumiko Takahashi,"Ranma ½, Vol. 1 (Ranma ½",1,1988
3881,Atsushi Ohkubo,"Soul Eater, Vol. 01",1,2004
3882,Hisaya Nakajo,"Hana-Kimi: For You in Full Blossom, Vol. 1",1,1997
3883,Gosho Aoyama,"Case Closed, Vol. 1",1,1994
3884,Hiro Fujiwara,Maid-sama! Vol. 01,1,2006
3885,Hajime Isayama,"Attack on Titan, Vol. 1",1,2010
3886,Katsura Hoshino,"D.Gray-man, Vol. 1",1,2004
3887,Karuho Shiina,"Kimi ni Todoke: From Me to You, Vol. 1",1,2006
3888,Hiro Mashima,"Fairy Tail, Vol. 1",1,2006
3889,Peach-Pit,"Shugo Chara!, Vol. 1: Who Do You Want to Be?",1,2006
3890,Jun Mochizuki,Pandora Hearts 1巻,1,2006
3891,Nobuhiro Watsuki,"Rurouni Kenshin, Volume 01",1,1994
3892,Eiichiro Oda,One Piece: Romance Dawn,1,1997
3893,Yoshiki Nakamura,"Skip Beat!, Vol. 01",1,2002
3894,Yana Toboso,"Black Butler, Vol. 1",1,2007
3895,Masashi Kishimoto,"Naruto, Vol. 01: Uzumaki Naruto",1,1999
3896,Tite Kubo,"Bleach, Volume 01",1,2002
3897,Natsuki Takaya,"Fruits Basket, Vol. 1",1,1999
3898,Hiromu Arakawa,"Fullmetal Alchemist, Vol. 1",1,2002
3899,Fisher Amelie,Vain,1,2012
3900,Shay Savage,Transcendence,1,2014
3901,Lesley  Jones,The Story of Us,1,2014
3902,Nicole Reed,Ruining Me,1,2012
3903,Kate  McCarthy,Fighting Redemption,1,2013
3904,E.B. White,Charlotte`s Web,1,1952
3905,David Nicholls,One Day,1,2008
3906,Kirsty Moseley,The Boy Who Sneaks in My Bedroom Window,1,2011
3907,Katherine Allred,The Sweet Gum Tree,1,2005
3908,Jennifer Niven,All the Bright Places,1,2015
3909,Alison G. Bailey,Present Perfect,1,2013
3910,K.A. Tucker,Ten Tiny Breaths,1,2012
3911,Kim Holden,Bright Side,1,2014
3912,Alice Sebold,The Lovely Bones,1,2002
3913,John Grogan,Marley and Me: Life and Love With the World`s Worst Dog,1,2005
3914,Jay Asher,Thirteen Reasons Why,1,2007
3915,Molly McAdams,Taking Chances,1,2012
3916,Lisa De Jong,When It Rains,1,2013
3917,Michael   Kramer,For the Love of Armin,1,2017
3918,Joseph Heller,Catch-22,1,1961
3919,Emem Uko,Notice Me,1,2018
3920,Misty Mount,The Nanny Song,1,2018
3921,B.A. Shapiro,The Art Forger,1,2012
3922,Lisa Genova,Left Neglected,1,2011
3923,Nancy Bilyeau,The Chalice,1,2013
3924,Melanie Benjamin,The Aviator`s Wife,1,2013
3925,Rachel Joyce,The Unlikely Pilgrimage of Harold Fry,1,2012
3926,Amanda Coplin,The Orchardist,1,2012
3927,Gillian Flynn,Sharp Objects,1,0
3928,Dan Brown,Angels & Demons,1,2000
3929,Paula McLain,The Paris Wife,1,2011
3930,Helen Simonson,Major Pettigrew`s Last Stand,1,2010
3931,Amor Towles,Rules of Civility,1,2011
3932,Donna Tartt,The Secret History,1,1992
3933,Maryanne O`Hara,Cascade,1,2012
3934,Jessica Maria Tuccelli,Glow,1,2012
3935,Rosamunde Pilcher,The Shell Seekers,1,1987
3936,Ann Patchett,Bel Canto,1,2001
3937,Jess Walter,Beautiful Ruins,1,2012
3938,Deborah Harkness,Shadow of Night,1,2012
3939,Kate Atkinson,Life After Life,1,2013
3940,Robin Sloan,Mr. Penumbra`s 24-Hour Bookstore,1,2012
3941,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience and Redemption",1,2010
3942,Randy Susan Meyers,The Comfort of Lies,1,2012
3943,Rebecca Skloot,The Immortal Life of Henrietta Lacks,1,2010
3944,Jojo Moyes,Me Before You,1,2012
3945,Tina Fey,Bossypants,1,2011
3946,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail,1,2012
3947,Daphne du Maurier,Rebecca,1,1938
3948,Emily Brontë,Wuthering Heights,1,1847
3949,Mark Haddon,The Curious Incident of the Dog in the Night-Time,1,2003
3950,Elizabeth Gilbert,"Eat, Pray, Love",1,2006
3951,Yann Martel,Life of Pi,1,2001
3952,F. Scott Fitzgerald,The Great Gatsby,1,1925
3953,Cameron Dane,A Fostered Love,1,2009
3954,Heidi Cullinan,Double Blind,1,2010
3955,Rowan Speedwell,Finding Zach,1,2010
3956,S.J. Frost,Conquest,1,2009
3957,J.M. Colail,Wes and Toren,1,2009
3958,Laura Baumbach,A Bit of Rough,1,2005
3959,Suzanne Brockmann,All Through the Night,1,2007
3960,P.L. Nunn,Bloodraven,1,2007
3961,Mary Calmes,A Matter of Time Book II,1,2009
3962,K.A. Mitchell,Regularly Scheduled Life,1,2008
3963,Amy Lane,Truth in the Dark,1,2010
3964,Charlie Cochet,Hell & High Water,1,2014
3965,Jet Mykles,Hell,1,2007
3966,Ella Frank,Take,1,2014
3967,River Jaymes,The Backup Boyfriend,1,2013
3968,Isabelle Rowan,A Note in the Margin,1,2009
3969,Jez Morrow,Force of Law,1,0
3970,Kaje Harper,Breaking Cover,1,2011
3971,Lynn Lorenz,Edward Unconditionally,1,2009
3972,Evangeline Anderson,Str8te Boys,1,2009
3973,Abigail Roux,Shock & Awe,1,2013
3974,Z.A. Maxfield,Drawn Together,1,2009
3975,Annie Proulx,Brokeback Mountain,1,1997
3976,Manna Francis,Mind Fuck,1,2007
3977,Tere Michaels,Love & Loyalty,1,2009
3978,J.L. Langley,The Englor Affair,1,0
3979,Sarina Bowen,Him,1,2015
3980,J.L. Merrow,Muscling Through,1,2011
3981,Lynn Flewelling,Luck in the Shadows,1,0
3982,Brooke McKinley,Shades of Gray,1,2009
3983,Ais,Evenfall,1,0
3984,Chris Owen,Bareback,1,2003
3985,Dani Alexander,Shattered Glass,1,2012
3986,Crystal Rose,"I`ll Be Your Drill, Soldier",1,2009
3987,C.S. Pacat,Captive Prince,1,2012
3988,T.J. Klune,"Bear, Otter, and the Kid",1,2011
3989,Jordan Castillo Price,Among the Living,1,2006
3990,Madeleine Urban,Warrior`s Cross,1,2009
3991,Sean Kennedy,Tigers and Devils,1,2009
3992,Damon Suede,Hot Head,1,2011
3993,Jane Seville,Zero at the Bone,1,2009
3994,Keri Arthur,Full Moon Rising,1,2006
3995,Cecily von Ziegesar,Gossip Girl,1,2002
3996,Rachel Ward,Numbers,1,2008
3997,Ellen Schreiber,Vampire Kisses: The Beginning,1,2008
3998,Lisi Harrison,The Clique,1,2004
3999,Lesley Livingston,Wondrous Strange,1,2008
4000,Karen Chance,Touch the Dark,1,2006
4001,Lili St. Crow,Strange Angels,1,2009
4002,Kim Harrison,Dead Witch Walking,1,2004
4003,Bree Despain,The Dark Divine,1,2009
4004,Laurie Faria Stolarz,Deadly Little Secret,1,2008
4005,MaryJanice Davidson,Undead and Unwed,1,2004
4006,Jeanne DuPrau,The City of Ember,1,0
4007,Nancy Holder,Wicked: Witch & Curse,1,2008
4008,L.J. Smith,"Night World, No. 1",1,2008
4009,Michael Scott,The Alchemyst,1,2007
4010,Janet Evanovich,One for the Money,1,1994
4011,Meg Cabot,The Princess Diaries,1,2000
4012,Gregory Maguire,Wicked: The Life and Times of the Wicked Witch of the West,1,1995
4013,Carrie Jones,Need,1,2008
4014,Cornelia Funke,Inkheart,1,2003
4015,Pittacus Lore,I Am Number Four,1,2010
4016,Rachel Caine,Glass Houses,1,2006
4017,Claudia Gray,Evernight,1,2008
4018,Constance Sharper,Airborne,1,2011
4019,Linda  Watkins,Mateguas Island: A Novel of Horror and Suspense,1,2014
4020,Mason Sabre,Watch Over You,1,2014
4021,H.P. Mallory,A Tale of Two Goblins,1,2011
4022,Elizabeth Marx,Descent of Blood,1,2012
4023,Priya Ardis,My Boyfriend Merlin,1,2011
4024,Angie Martin,Conduit,1,2014
4025,A. Payne,The Regent`s Gamble,1,2013
4026,Willow Cross,Inheritance,1,0
4027,Lizzy Ford,Kiera`s Moon,1,2011
4028,Joann I. Martin Sowles,Laney,1,2010
4029,Zoe Winters,Kept,1,2008
4030,B. Kristin McMichael,The Legend of the Blue Eyes,1,2013
4031,Angee Taylor,Hidden Secrets,1,2013
4032,Shane K.P. O`Neill,"Bound By Blood: Volume 2 (Bound By Blood, #2)",1,2012
4033,Imogen Rose,Portal,1,2010
4034,Anthony Hulse,Hallowed be thy Name,1,2014
4035,Peter   John,Dead Medium,1,2013
4036,Laury Falter,Fallen,1,2009
4037,Taylor Ann Bunker,Witch in the Woods,1,2013
4038,R.M. Gilmore,Becoming,1,2012
4039,Nely Cab,Creatura,1,2011
4040,Chelsea Fine,Anew,1,2011
4041,Jayde Scott,A Job From Hell,1,2011
4042,Alanea Alder,My Commander,1,2014
4043,Melissa A. Craven,The Awakening,1,2015
4044,Nicky Charles,The Mating,1,2010
4045,Stacey Wallace Benefiel,Glimpse,1,2010
4046,Heather Killough-Walden,The Heat,1,2010
4047,Lauren Burd,Immortal,1,2010
4048,Dannika Dark,Twist,1,2012
4049,Jessica Kong,A Lost Kitten,1,2012
4050,Tina Folsom,Samson`s Lovely Mortal,1,2010
4051,Amy A. Bartol,Inescapable,1,2011
4052,Amalie Jahn,Among the Shrouded,1,2013
4053,Addison Moore,Ethereal,1,2011
4054,J.L. Bryan,Jenny Pox,1,2010
4055,Susan Bischoff,Hush Money,1,2010
4056,Sarra Cannon,Beautiful Demons,1,2010
4057,Julia Crane,Coexist,1,2011
4058,Joseph DiBartolo,A Timely Curse,1,2013
4059,Rebekkah Ford,Dark Spirits,1,2013
4060,S.L. Naeole,Falling From Grace,1,2009
4061,Tanya Holmes,"The Darkest Frost, Vol. 1",1,2015
4062,Andre Dubus III,House of Sand and Fog,1,1999
4063,Sarah Rees Brennan,Tell the Wind and Fire,1,2016
4064,Rachel Gibson,Nothing But Trouble,1,2010
4065,Komal Kant,Impossible,1,2012
4066,Jonathan Lethem,Motherless Brooklyn,1,1999
4067,Ilona Andrews,Magic Bleeds,1,2010
4068,Jennifer Ashley,The Madness of Lord Ian Mackenzie,1,2009
4069,Elizabeth Reyes,Romero,1,2011
4070,Karen Marie Moning,Kiss of the Highlander,1,2001
4071,Bret Easton Ellis,Less Than Zero,1,1985
4072,Nick Hornby,How to Be Good,1,2001
4073,Elizabeth Wurtzel,Prozac Nation,1,1994
4074,Junot Díaz,The Brief Wondrous Life of Oscar Wao,1,2007
4075,David Wroblewski,The Story of Edgar Sawtelle,1,2008
4076,Robert James Waller,The Bridges of Madison County,1,1992
4077,Stephen Crane,The Red Badge of Courage,1,1895
4078,Curtis Sittenfeld,Prep,1,2005
4079,Tim LaHaye,Left Behind,1,1995
4080,Rhonda Byrne,The Secret,1,2006
4081,Joseph Conrad,Heart of Darkness,1,1899
4082,James Redfield,The Celestine Prophecy,1,1993
4083,Thomas   Harris,Hannibal,1,1999
4084,Augusten Burroughs,Running with Scissors,1,2002
4085,Seth Grahame-Smith,Pride and Prejudice and Zombies,1,2009
4086,Lauren Weisberger,The Devil Wears Prada,1,2003
4087,John Grisham,The Client,1,1993
4088,Bill Watterson,Homicidal Psycho Jungle Cat,1,1994
4089,Joyce Carol Oates,We Were the Mulvaneys,1,1996
4090,T. Coraghessan Boyle,The Tortilla Curtain,1,0
4091,Pat Barker,Regeneration,1,1991
4092,Helen Fielding,Bridget Jones: The Edge of Reason,1,1999
4093,Alex Garland,The Beach,1,1996
4094,Bill Bryson,Notes from a Small Island,2,1995
4095,Michael Crichton,Timeline,1,1999
4096,James Ellroy,L.A. Confidential,1,1990
4097,David Sedaris,Naked,1,1997
4098,Philip Roth,American Pastoral,1,1997
4099,Louis de Bernières,Corelli`s Mandolin,1,1994
4100,J.M. Coetzee,Disgrace,1,1999
4101,Peter Høeg,Smilla`s Sense of Snow,1,1992
4102,Garth Nix,Sabriel,1,1995
4103,Irvine Welsh,Trainspotting,1,1993
4104,Alexander McCall Smith,The No. 1 Ladies` Detective Agency,1,1998
4105,Jon Krakauer,Into Thin Air: A Personal Account of the Mount Everest Disaster,1,1997
4106,Haruki Murakami,The Wind-Up Bird Chronicle,1,1994
4107,David Guterson,Snow Falling on Cedars,1,1994
4108,John Berendt,Midnight in the Garden of Good and Evil,1,1994
4109,Tim O`Brien,The Things They Carried,1,1990
4110,Chuck Palahniuk,Fight Club,1,1996
4111,Linda Howard,After the Night,1,1995
4112,Janette Rallison,Just One Wish,1,2009
4113,Jennifer Echols,Going Too Far,1,2009
4114,Sarah J. Maas,Heir of Fire,1,2014
4115,Alex Flinn,A Kiss in Time,1,2008
4116,Lucy Christopher,Stolen: A Letter to My Captor,1,2009
4117,Marie Rutkoski,The Winner`s Curse,1,2014
4118,Julia Golding,Dragonfly,1,2008
4119,Susan Elizabeth Phillips,Call Me Irresistible,1,2010
4120,Amie Kaufman,These Broken Stars,1,2013
4121,Sally  Thorne,The Hating Game,1,2016
4122,J.A. Dennam,Truth and Humility,1,2012
4123,Tahereh Mafi,Shatter Me,1,2011
4124,L.A. Weatherly,Angel,1,2010
4125,Penelope Ward,Stepbrother Dearest,1,2014
4126,Kerstin Gier,Ruby Red,1,2009
4127,Sara Wolf,Love Me Never,1,2015
4128,Wendelin Van Draanen,Flipped,1,2001
4129,Erin Noelle,Metamorphosis,1,2013
4130,Tiffanie DeBartolo,How to Kill a Rock Star,1,2005
4131,Brei Betzold,My Misery Muse,1,2012
4132,Sadie Grubor,Falling Stars,1,2012
4133,Christine Zolendz,Fall From Grace,1,2012
4134,J.B. Salsbury,Fighting for Flight,1,2013
4135,Kimberly Lauren,Beautiful Broken Rules,1,2013
4136,Katee Robert,"Wrong Bed, Right Guy",1,2012
4137,Jean Haus,In the Band,1,2012
4138,Tammy Falkner,"Tall, Tatted and Tempting",1,2013
4139,A. Meredith Walters,Bad Rep,1,2012
4140,Gina L. Maxwell,Seducing Cinderella,1,2012
4141,Richard K. Morgan,The Dark Defiles,1,2014
4142,Lydia Kang,Control,1,2013
4143,Diane Duane,Games Wizards Play,1,2016
4144,Robin Hobb,Assassin`s Apprentice,1,1995
4145,Charity Bradford,The Magic Wakes,1,2013
4146,Chris Wooding,The Ace of Skulls,1,2013
4147,Laura Lam,Pantomime,1,2013
4148,Michael J. Sullivan,The Rose and the Thorn,1,2013
4149,Annie Laurie Cechini,Liberty,1,2013
4150,Warren Ellis,Gun Machine,1,2012
4151,Rae Carson,The Bitter Kingdom,1,2013
4152,Jim C. Hines,Codex Born,1,2013
4153,Julianna Scott,The Holders,1,2013
4154,Evie Manieri,Blood`s Pride,1,2012
4155,Catherynne M. Valente,Six-Gun Snow White,1,2013
4156,R.A. Salvatore,The Companions,1,2013
4157,Amalia Dillin,Forged by Fate,1,2013
4158,Amanda  Carlson,Cold Blooded,1,2013
4159,Mazarkis Williams,Knife Sworn,1,2012
4160,Jennifer A. Nielsen,The Runaway King,1,2013
4161,Hugh Howey,Dust,1,2013
4162,C.E. Murphy,Mountain Echoes,1,2013
4163,Travis Bradberry,Cryonic,1,2013
4164,R. Scott Bakker,The Unholy Consult,1,2017
4165,Muffy Morrigan,The Sail Weaver,1,2012
4166,Michelle Sagara,Cast in Sorrow,1,2013
4167,Rob Thurman,Slashback,1,2013
4168,Jennifer Estep,Deadly Sting,1,2013
4169,Petteri Hannila,Fargoer,1,2013
4170,Darynda Jones,Fourth Grave Beneath My Feet,1,2012
4171,Myke Cole,Fortress Frontier,1,2013
4172,Roy Huff,The First Pillar,1,2013
4173,Leigh Bardugo,Siege and Storm,1,2013
4174,Brian  McClellan,Promise of Blood,1,2013
4175,Raymond E. Feist,Magician`s End,1,2013
4176,Seanan McGuire,Midnight Blue-Light Special,1,2013
4177,Daniel Abraham,The Tyrant`s Law,1,2013
4178,Ben Aaronovitch,Broken Homes,1,2013
4179,Shawn Speakman,Unfettered,1,2013
4180,Alex J. Cavanaugh,CassaStorm,1,2013
4181,Faith Hunter,Blood Trade,1,2013
4182,Douglas Hulick,Sworn in Steel,1,2014
4183,Guy Gavriel Kay,River of Stars,1,2013
4184,Kevin Hearne,Hunted,1,2013
4185,Jim Butcher,Skin Game,1,2014
4186,Brent Weeks,The Broken Eye,1,2014
4187,Peter V. Brett,The Daylight War,1,2013
4188,Mark  Lawrence,Emperor of Thorns,1,2013
4189,Scott Lynch,The Republic of Thieves,1,2013
4190,Scott Snyder,"American Vampire, Vol. 1",1,2010
4191,Richard Bachman,Roadwork,1,1981
4192,Zathyn Priest,One of Those Days,1,0
4193,R.J. Scott,The Heart of Texas,1,2011
4194,Jesse Hajicek,The God Eaters,1,2006
4195,Steve Kluger,Almost Like Being in Love,1,2004
4196,Kim Dare,Duck!,1,2010
4197,Jay Bell,Something Like Summer,1,2010
4198,Terry Brooks,The Darkling Child,1,2015
4199,Zen Cho,Sorcerer to the Crown,1,2015
4200,China Miéville,Three Moments of an Explosion,1,2015
4201,Adrian Tchaikovsky,Guns of the Dawn,1,2015
4202,Elizabeth May,The Vanishing Throne,1,2015
4203,Judd Trichter,Love in the Age of Mechanical Reproduction,1,2015
4204,Aliette de Bodard,The House of Shattered Wings,1,2015
4205,Alex   Marshall,A Crown for Cold Silver,1,2015
4206,Seth Dickinson,The Traitor Baru Cormorant,1,2015
4207,Fran Wilde,Updraft,1,2015
4208,Sara Raasch,Ice Like Fire,1,2015
4209,Kim Stanley Robinson,Aurora,1,2015
4210,Max Gladstone,Last First Snow,1,2015
4211,Ian Tregillis,The Mechanical,1,2015
4212,Jo Walton,The Just City,1,2015
4213,Wesley Chu,Time Salvager,1,2015
4214,Marie Brennan,The Voyage of the Basilisk,1,2015
4215,Robert Jackson Bennett,City of Blades,1,2016
4216,Liu Cixin,The Dark Forest,1,2008
4217,Daniel Polansky,Those Above,1,2015
4218,Sebastien de Castell,Knight`s Shadow,1,2014
4219,Paolo Bacigalupi,The Water Knife,1,2015
4220,Elizabeth Bear,Karen Memory,1,2015
4221,Luke Scull,Sword of the North,1,2014
4222,Daniel O`Malley,Stiletto,1,2016
4223,J.M. Martin,"Blackguards: Tales of Assassins, Mercenaries, and Rogues",1,2015
4224,Victor Milán,The Dinosaur Lords,1,2015
4225,Steven Erikson,Fall of Light,1,2016
4226,Rachel Hartman,Shadow Scale,1,2015
4227,Ken Liu,The Grace of Kings,1,2015
4228,John Gwynne,Ruin,1,2015
4229,Miles  Cameron,The Dread Wyrm,1,2015
4230,Todd Strasser,The Beast of Cretacea,1,2015
4231,Django Wexler,The Price of Valour,1,2015
4232,N.K. Jemisin,The Fifth Season,1,2015
4233,Naomi Novik,Uprooted,1,2015
4234,Anne Bishop,Vision in Silver,1,2015
4235,V.E. Schwab,A Darker Shade of Magic,1,2015
4236,Joe Abercrombie,Half a War,1,2015
4237,Brian Staveley,The Providence of Fire,1,2015
4238,Anthony Ryan,Queen of Fire,1,2015
4239,Blakely Bennett,Stuck in Between,1,2014
4240,Janet Nissenson,Serendipity,1,2013
4241,Normandie Alleman,Daddy Morebucks,1,2013
4242,Lisa Kleypas,Mine Till Midnight,1,2007
4243,Flora Rheta Schreiber,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,1,1973
4244,Pearl S. Buck,The Good Earth,1,1931
4245,Aleksandr Solzhenitsyn,One Day in the Life of Ivan Denisovich,1,1962
4246,José Saramago,Blindness,1,1995
4247,Tennessee Williams,A Streetcar Named Desire,2,1947
4248,Chinua Achebe,Things Fall Apart,1,1958
4249,John Knowles,A Separate Peace,1,1959
4250,Lionel Shriver,We Need to Talk About Kevin,1,2003
4251,Nevil Shute,On the Beach,1,1957
4252,Anthony Burgess,A Clockwork Orange,1,1962
4253,Upton Sinclair,The Jungle,1,1906
4254,Margery Williams Bianco,The Velveteen Rabbit,1,1922
4255,Fred Gipson,Old Yeller,1,1956
4256,Arthur  Miller,Death of a Salesman,2,1949
4257,Hans Christian Andersen,The Little Match Girl,1,1845
4258,Frank McCourt,Angela`s Ashes,1,1996
4259,Dave Pelzer,"A Child Called ""It""",1,1995
4260,Ellen Hopkins,Crank,1,2004
4261,Ammar Habib,Memories Of My Future,1,2016
4262,Peter Arpesella,Good Like This,1,2013
4263,Oscar Wilde,The Picture of Dorian Gray,1,1890
